Date,Open,High,Low,Close,Volume,Adj Close
2016-03-21,46.439999,47.889999,46.310001,47.75,5972100,47.75
2016-03-18,46.709999,47.290001,45.540001,46.450001,7135300,46.450001
2016-03-17,44.779999,46.669998,44.470001,46.09,6482300,46.09
2016-03-16,42.630001,45.150002,42.599998,44.779999,9548700,44.779999
2016-03-15,42.50,43.279999,42.32,43.209999,7138400,43.209999
2016-03-14,42.830002,44.060001,42.50,43.830002,6303600,43.830002
2016-03-11,42.060001,43.150002,41.82,43.150002,7313500,43.150002
2016-03-10,40.939999,42.259998,39.110001,41.040001,11868200,41.040001
2016-03-09,40.209999,40.529999,39.470001,40.34,5423100,40.34
2016-03-08,40.529999,41.130001,39.68,39.790001,6246100,39.790001
2016-03-07,40.689999,42.349998,40.509998,41.41,5537700,41.41
2016-03-04,42.73,42.959999,41.07,41.549999,7133200,41.549999
2016-03-03,40.52,42.459999,40.200001,42.060001,7460900,42.060001
2016-03-02,39.889999,40.759998,39.240002,40.759998,5837500,40.759998
2016-03-01,37.759998,40.09,37.380001,40.09,5769600,40.09
2016-02-29,37.619999,38.639999,36.82,36.880001,5983400,36.880001
2016-02-26,38.68,38.849998,37.099998,37.50,7312700,37.50
2016-02-25,37.080002,38.09,36.330002,38.060001,5936800,38.060001
2016-02-24,35.049999,36.970001,34.419998,36.779999,9958300,36.779999
2016-02-23,38.02,38.27,36.400002,36.57,6173200,36.57
2016-02-22,37.450001,38.52,37.349998,38.50,8425100,38.50
2016-02-19,34.880001,36.490002,34.560001,36.43,10550000,36.43
2016-02-18,35.610001,36.049999,34.91,35.48,8010700,35.48
2016-02-17,34.860001,35.580002,34.540001,35.400002,4998600,35.400002
2016-02-16,33.700001,34.169998,33.150002,34.07,6665500,34.07
2016-02-12,32.200001,32.650002,31.459999,32.580002,6372200,32.580002
2016-02-11,30.99,32.00,29.98,31.23,13059800,31.23
2016-02-10,34.119999,34.709999,33.169998,33.25,6840000,33.25
2016-02-09,32.400002,34.209999,32.27,33.509998,9343700,33.509998
2016-02-08,34.150002,34.490002,32.25,33.759998,11455900,33.759998
2016-02-05,37.029999,37.07,34.849998,35.470001,9585600,35.470001
2016-02-04,36.880001,37.849998,36.400002,36.93,7273400,36.93
2016-02-03,37.50,37.529999,34.799999,37.34,10667400,37.34
2016-02-02,38.27,38.349998,36.540001,36.860001,11396700,36.860001
2016-02-01,38.880001,40.02,38.209999,39.560001,7419200,39.560001
2016-01-29,37.900002,39.25,37.709999,39.119999,7499400,39.119999
2016-01-28,37.599998,37.869999,36.00,37.619999,9058500,37.619999
2016-01-27,37.509998,38.73,35.860001,36.380001,12671600,36.380001
2016-01-26,36.75,37.959999,36.25,37.93,8618400,37.93
2016-01-25,37.68,38.27,36.049999,36.209999,9275700,36.209999
2016-01-22,36.900002,38.200001,36.50,38.189999,10016700,38.189999
2016-01-21,35.450001,36.50,33.740002,35.25,12798400,35.25
2016-01-20,34.830002,35.93,31.90,35.110001,19577500,35.110001
2016-01-19,37.490002,37.490002,34.419998,36.009998,12012800,36.009998
2016-01-15,35.619999,37.310001,34.59,36.029999,17255900,36.029999
2016-01-14,39.00,41.02,37.23,40.029999,11840300,40.029999
2016-01-13,43.82,43.939999,37.880001,38.599998,13629800,38.599998
2016-01-12,42.77,43.09,40.349998,43.009998,12340000,43.009998
2016-01-11,40.220001,41.380001,36.93,41.040001,12557500,41.040001
2016-01-08,43.599998,44.029999,39.400002,39.869999,8617400,39.869999
2016-01-07,44.209999,45.459999,41.560001,42.34,12911200,42.34
2016-01-06,45.619999,47.540001,45.580002,47.389999,6358300,47.389999
2016-01-05,48.419998,49.279999,46.939999,48.860001,4712500,48.860001
2016-01-04,46.48,47.50,44.73,47.259998,8079600,47.259998
2015-12-31,51.02,51.900002,50.419998,50.450001,2912000,50.450001
2015-12-30,52.68,52.759998,51.509998,51.709999,2456400,51.709999
2015-12-29,53.27,53.650002,52.77,53.400002,2120400,53.400002
2015-12-28,50.98,52.50,49.93,52.400002,3451900,52.400002
2015-12-24,52.389999,52.669998,51.709999,51.84,1712000,51.84
2015-12-23,52.84,53.240002,51.619999,52.810001,3829400,52.810001
